h_values,a_values,c_values,global_node_eccentricity,within_community_eccentricity,community_eccentricity,community_size
0.3,0.01,0.03,1.8884826926344713,0.06207246760725482,1.9505551602417261,52
0.01,0.01,0.01,4.059804001197278,0.3235869867023382,4.383390987899616,51
0.01,0.3,0.3,0.12334367498951179,0.0469115322844431,0.07643214270506869,50
0.01,0.01,0.3,0.49408292721528474,0.07125767406348127,0.42282525315180347,40
0.03,0.01,0.1,1.2144585754535315,0.1797408689345763,1.3941994443881078,39
0.03,0.3,0.1,0.6711596571224971,0.1291483430636461,0.8003080001861432,73
0.01,0.01,0.03,1.0069947946652953,0.13808355442366682,0.8689112402416285,94
0.3,0.03,0.01,0.814145724215936,0.05476551602569246,0.8689112402416285,94
0.03,0.03,0.03,1.2986605588744788,0.13530032352995125,1.43396088240443,67
0.01,0.01,0.03,1.2319643495603225,0.20199653284410757,1.43396088240443,67
0.3,0.01,0.1,1.902307211285022,0.049702325136246506,1.9520095364212684,102
0.03,0.1,0.3,0.17181738676237163,0.09293081858412355,0.2647482053464952,54
0.01,0.1,0.03,3.302947415189114,0.06551285399443385,3.3684602691835477,64
0.03,0.03,0.1,3.027990543930425,0.48585614612348627,3.5138466900539114,62
0.1,0.03,0.01,1.0334618260259303,0.23315382583978705,0.8003080001861432,73
0.1,0.03,0.1,2.5280704749505807,0.13918706609993414,2.667257541050515,61
0.3,0.03,0.3,0.720002444510835,0.14890879573079352,0.8689112402416285,94
0.3,0.3,0.03,6.54928023858875,0.0099840116699772,6.559264250258727,8
0.03,0.03,0.01,2.0917240859921966,0.14116892575047046,1.9505551602417261,52
0.03,0.1,0.3,4.975990717872747,0.38765887715507663,5.363649595027824,23
0.01,0.3,0.1,5.372119154722742,0.008469559694917805,5.363649595027824,23
0.1,0.03,0.3,2.238290624248938,0.3540334715279574,2.5923240957768954,69
0.3,0.3,0.3,2.125744780653509,0.17373524423224063,1.9520095364212684,102
0.03,0.01,0.1,1.12554047007176,0.2566292298301315,0.8689112402416285,94
0.1,0.03,0.03,0.1122364572837296,0.1525117480627656,0.2647482053464952,54
0.3,0.1,0.03,3.4442849987088993,0.07582472952535158,3.3684602691835477,64
0.03,0.03,0.1,0.5542807175467921,0.3146305226948364,0.8689112402416285,94
0.01,0.03,0.01,7.225841670471155,0.31018173832851215,6.915659932142643,8
0.03,0.03,0.03,0.6689267427050454,0.13138125748109786,0.8003080001861432,73
0.01,0.1,0.3,5.527625011944617,0.09587164762277034,5.623496659567388,43
0.01,0.3,0.1,2.41444329116457,0.46243375474330173,1.9520095364212684,102
0.1,0.03,0.3,2.2284520745105634,0.2778969142688372,1.9505551602417261,52
0.03,0.01,0.03,1.1858948595156191,0.2083045848724887,1.3941994443881078,39
0.01,0.01,0.03,1.089993404791214,0.22108216454958562,0.8689112402416285,94
0.03,0.01,0.03,0.08654204856895896,0.010109905863890276,0.07643214270506869,50
0.03,0.3,0.3,3.416727408846258,0.09711928120765334,3.5138466900539114,62
0.1,0.01,0.1,0.4924841218661415,0.06965886871433802,0.42282525315180347,40
0.1,0.03,0.3,7.776573312882529,0.0,7.776573312882529,1
0.03,0.01,0.1,1.9122453151823144,0.03830984505941171,1.9505551602417261,52
0.03,0.1,0.01,2.920335433447763,0.2530778923972483,2.667257541050515,61
0.3,0.3,0.1,1.9464988732971427,0.0055106631241257364,1.9520095364212684,102
0.01,0.03,0.3,1.1440187404835882,0.27510750024195973,0.8689112402416285,94
0.01,0.3,0.01,0.8954980748527072,0.02658683461107869,0.8689112402416285,94
