h_values,n_values,th_values,ta_values,c_values,avg_weight,std_dev,average_os,range_community,n_communities,modularity
0.03,0.1,0.1,0.03,0.01,114.12756782702424,0.7099593595405579,8.1500237571506,3.3072753803540804,2,0.01000622385101424
0.03,0.1,0.1,0.1,0.01,115.03595102105034,0.26943359983796433,8.09440879458616,5.06222472911727,2,0.010059388843002337
0.03,0.1,0.1,0.3,0.01,115.7526391598018,0.1576580953511405,7.4098489346662,4.415460861521448,2,0.010249841822524891
0.03,0.1,0.3,0.01,0.01,116.73442166875394,0.43469158873718244,7.300712244798318,2.6307222704211384,2,0.010398417718622793
0.03,0.1,0.3,0.03,0.01,117.74944900209209,0.06841627924179942,7.388520928529536,4.721732615578489,2,0.010567067899063143
0.03,0.1,0.3,0.1,0.01,118.77676908112358,0.9727404389599954,7.296139068400227,2.93107841729256,2,0.010501212341534089
0.03,0.1,0.3,0.3,0.01,119.63111653496203,0.07816251910531005,7.1812975267303845,4.320420245260578,2,0.0107132956597987
0.03,0.3,0.01,0.01,0.01,124.31773291933527,1.0477524130617775,7.514348002943226,3.1130639422945965,2,0.0102387969932011
0.03,0.3,0.01,0.03,0.01,128.8181132037026,0.25267820325682033,7.711230202711716,4.372495262899052,2,0.00971679129098757
0.03,0.3,0.01,0.1,0.01,132.8139438828213,0.4639385608968871,8.296713522850347,5.0639402372769275,2,0.009479878735536101
0.03,0.3,0.01,0.3,0.01,136.24790562632805,0.5467084612033073,7.219887198723577,2.8669268007387485,2,0.009199995325771482
0.03,0.3,0.03,0.01,0.01,140.61780751376395,0.30904192689627336,7.207995299615704,3.02369719972545,2,0.008814342149697285
0.03,0.3,0.03,0.03,0.01,145.07860306589717,0.24415350909989583,8.111682677199363,4.505238898696566,2,0.008409718978762915
0.03,0.3,0.03,0.1,0.01,149.3027222799996,0.1896638719032402,8.073338134409418,4.536590076603967,2,0.008035984816724101
0.03,0.3,0.03,0.3,0.01,152.72628749431112,0.14826578600021764,7.27194284316716,3.1816607068782883,2,0.007760319169564656
0.03,0.3,0.1,0.01,0.01,157.18923142060393,0.3165261139056292,7.641857083692313,3.386357983143359,2,0.007388271857137557
0.03,0.3,0.1,0.03,0.01,161.54341418082137,0.21504341692234183,7.652365435858913,3.446981607192261,2,0.007041485626771288
0.03,0.3,0.1,0.1,0.01,165.9519151651486,0.2726491188422093,8.302840746648164,4.446143969799193,2,0.006706957547845616
0.03,0.3,0.1,0.3,0.01,169.8117603861397,0.15793570210339736,7.269231409887828,3.5284631508850675,2,0.006421147446467157
0.03,0.3,0.3,0.01,0.01,174.52449141711398,0.10836209276109104,8.370619339002001,4.28843154317266,2,0.006106488188945491
0.03,0.3,0.3,0.03,0.01,179.17768814645535,0.09617101558487795,6.738610300608792,2.6513110301253455,2,0.0055642531478048984
0.03,0.3,0.3,0.1,0.01,183.810166878265,0.1586414759783545,7.799859849026592,4.05723147446629,2,0.005542739424746784
0.03,0.3,0.3,0.3,0.01,187.58081817272284,0.1903223012176572,7.091580059392092,3.4770762207366768,2,0.005326054485307097
0.1,0.01,0.01,0.01,0.01,185.20045412901678,1.05078314555607,10.198497650929335,7.049173150129338,3,0.005268487796014756
0.1,0.01,0.01,0.03,0.01,182.9224691029034,2.805217824352226,13.886276059105299,8.293677925769785,3,0.006168057530039614
0.1,0.01,0.01,0.1,0.01,180.69324022040317,0.9150293048048482,10.351466846973262,5.41928821952973,3,0.007109999977629372
0.1,0.01,0.01,0.3,0.01,178.45754017026238,0.3668674888155913,7.2950655331601775,2.163125005063857,2,0.009187366389338592
0.1,0.01,0.03,0.01,0.01,176.17700688556263,0.2984517383632816,7.725131867425681,2.458017639303426,2,0.010793149212094899
0.1,0.01,0.03,0.03,0.01,173.74754647411484,0.2647339660900063,6.9095767752231545,1.7000464984420232,2,0.011800589075120826
0.1,0.01,0.03,0.1,0.01,171.22590781014216,0.0015963255287152487,7.83412773947388,5.299201604941182,2,0.013749636908772872
0.1,0.01,0.03,0.3,0.01,168.68985974132957,0.5062804338568705,8.24697222280272,3.0090379585282436,2,0.015591489829680866
0.1,0.01,0.1,0.01,0.01,166.24900196801113,0.3403382039682863,8.040667620337045,2.73424676781882,2,0.01738206743273296
0.1,0.01,0.1,0.03,0.01,163.86140517112307,0.11568130408878623,7.014278579853575,1.5879169835535158,2,0.01919524576022802
0.1,0.01,0.1,0.1,0.01,161.53263374764273,0.14533755221665287,6.918302385065855,1.525545387501002,2,0.02151464380052792
0.1,0.01,0.1,0.3,0.01,159.09448906524034,0.002834468229795431,7.625896580005659,5.483609496709072,2,0.02369689001499073
0.1,0.01,0.3,0.01,0.01,156.81617649564805,0.2673900362743926,6.658508662269289,1.3850389760288566,2,0.02603089671757247
0.1,0.01,0.3,0.03,0.01,154.46017307630626,0.2504761764105986,6.122711040228042,0.580660359499146,2,0.028869676853979426
0.1,0.01,0.3,0.1,0.01,152.06247542513586,0.10414156224610611,6.479497160109139,0.722340483669881,2,0.03165040219685031
0.1,0.01,0.3,0.3,0.01,149.54942671652287,0.11212376139590365,8.672502214972097,6.338108225727716,2,0.034310588020720345
0.1,0.03,0.01,0.01,0.01,147.2890395604414,0.21335905496991478,6.944087208437917,1.1070032539947006,2,0.03693373905873856
0.1,0.03,0.01,0.03,0.01,144.96414534659039,0.36150716166629404,7.249806727764075,1.3995509683871372,2,0.03949342706277548
0.1,0.03,0.01,0.1,0.01,142.6978736071975,0.32066520652701697,7.313998105097438,1.4563230020236073,2,0.04265165539357865
0.1,0.03,0.01,0.3,0.01,140.4364071992879,0.06408121207338326,7.096049230427788,1.3452392039096308,2,0.046231281864648865
0.1,0.03,0.03,0.01,0.01,138.3984167187764,0.06057896632185893,7.071332696175721,1.3098895257403136,2,0.04935254704437378
0.1,0.03,0.03,0.03,0.01,136.3653400152646,0.20827165508588943,9.005478325019492,6.365302631228802,2,0.05238032234473433
0.1,0.03,0.03,0.1,0.01,134.31962917449457,0.07800880289454389,7.468054388227615,1.6397514947635923,2,0.05525334130569723
0.1,0.03,0.03,0.3,0.01,132.19532486993657,0.21661145549407335,7.462469281766997,1.6583785882562907,2,0.058132086266241445
0.1,0.03,0.1,0.01,0.01,130.17791110539955,0.034353416514209305,7.398451519975742,1.6953154834220179,2,0.060871285712792295
0.1,0.03,0.1,0.03,0.01,128.0963774236419,0.278762412203446,8.422611067582677,5.747463987002019,2,0.06346050416971546
0.1,0.03,0.1,0.1,0.01,125.96876359777985,0.022904957153639733,7.422095149255802,1.9775242460966282,2,0.06585157619265566
0.1,0.03,0.1,0.3,0.01,123.77163168971119,0.024218304648736654,7.494488860918305,2.2100951149370065,2,0.06798171169207867
0.1,0.03,0.3,0.01,0.01,121.90829788866236,0.0813106641019122,8.42357627207702,5.845009635133369,2,0.07046582829164491
0.1,0.03,0.3,0.03,0.01,120.0819977364233,0.2533064010028357,7.227309564185879,1.7056911371345649,2,0.07296214390929412
0.1,0.03,0.3,0.1,0.01,118.24079253942868,0.2149245829104668,7.447405414791063,1.9726907342401203,2,0.07564602875247281
0.1,0.03,0.3,0.3,0.01,116.34535553193331,0.17735671111033427,7.598936516175064,2.1896527942631323,2,0.07830374428178788
0.1,0.1,0.01,0.01,0.01,115.60835155044767,0.17789430261557565,8.091580716075756,2.586574936860928,2,0.07994830326041935
0.1,0.1,0.01,0.03,0.01,114.853425218968,0.062217284744604064,8.144394783139086,2.6590663040036455,2,0.08139919332105883
0.1,0.1,0.01,0.1,0.01,114.03477748140386,0.16612791252220846,8.306717378159313,2.81063142703026,2,0.08265401488670576
0.1,0.1,0.01,0.3,0.01,113.02769235708007,0.6959815520986922,8.43099631225761,5.337871184067556,2,0.08386709494148847
0.1,0.1,0.03,0.01,0.01,112.34897216934476,0.2733217112945365,8.567389913242954,3.1346172549745033,2,0.08480609313644841
0.1,0.1,0.03,0.03,0.01,111.64348448855596,0.41865080140067007,8.889909948328302,3.4675134322915158,2,0.08569331858722859
0.1,0.1,0.03,0.1,0.01,110.89766161502081,0.719503909000591,9.124508033726896,3.6062132584621516,2,0.08654959931328929
0.1,0.1,0.03,0.3,0.01,109.99914825922652,0.45704147275516166,8.826059021679015,5.4455254177689705,2,0.08753931599926718
0.1,0.1,0.1,0.01,0.01,109.40471971692021,0.29522666408065207,8.557124178392185,5.317072996752148,2,0.08840687753139406
0.1,0.1,0.1,0.03,0.01,108.75791356927711,0.2561462106951906,9.312874473588558,3.8936227569160993,2,0.08902362117260262
0.1,0.1,0.1,0.1,0.01,108.0279902880914,0.4406098818320067,9.589632933394928,4.083152113014479,2,0.08945226387215854
